id,ws_token,oc,total,estado,response,fecha,fetchtbk,cod_aut,t_tarjeta,n_ctas,c_ctas,n_tarjetas
43,,124,244459,pendiente,NULL,9/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
44,,125,244459,aceptada,0,9/6/2020,2020-06-09T10:26:04.306-04:00,1213,VN,0,,6623
45,,126,244459,rechazada,-1,9/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
46,,127,134562,aceptada,0,15/06/2020,2020-06-15T13:46:29.483-04:00,530995,VD,0,,1
47,,128,134562,aceptada,0,15/06/2020,2020-06-15T13:47:53.651-04:00,340154,VD,0,,1
48,,129,254420,pendiente,NULL,15/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
49,,130,254420,pendiente,NULL,15/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
50,ea8ea12a1712cb93a846f906833d3e387ed807192b84e113734c8db0d5b18af8,131,254420,aceptada,0,15/06/2020,2020-06-15T14:03:43.118-04:00,194884,VD,0,,1
51,,133,254420,aceptada,0,15/06/2020,2020-06-15T14:10:30.912-04:00,386112,VD,0,,1
52,,134,254420,aceptada,0,15/06/2020,2020-06-15T14:11:57.418-04:00,144436,VD,0,,1
53,,135,254420,aceptada,0,15/06/2020,2020-06-15T14:13:22.002-04:00,503572,VD,0,,1
54,,136,254420,aceptada,0,15/06/2020,2020-06-15T14:14:03.552-04:00,121026,VD,0,,1
55,,137,254420,aceptada,0,15/06/2020,2020-06-15T14:16:34.280-04:00,503033,VD,0,,1
56,,138,254420,aceptada,0,15/06/2020,2020-06-15T14:17:21.359-04:00,145719,VD,0,,1
57,e392c21addcd253d213a325f220103406d0ad928c97ac6a4ca4128099536748f,139,254420,aceptada,0,15/06/2020,2020-06-15T14:18:45.988-04:00,999429,VD,0,,1
58,e5a171c23445daf69d361159262be7f066e88e3990793f55b22963f091e890f5,140,254420,aceptada,0,15/06/2020,2020-06-15T14:20:13.448-04:00,590542,VD,0,,1
59,ed65a3e236f7f87e45cbcac629e2ea50f6d5593e96e408c08df7dcc087a248d1,141,254420,aceptada,0,15/06/2020,2020-06-15T14:25:38.911-04:00,755976,VD,0,,1
60,ef44b8d490f00661a611c6d112351a8ceebd25ecf67f562fba3ce72072c95335,142,254420,aceptada,0,15/06/2020,2020-06-15T15:11:43.928-04:00,159123,VD,0,,1
61,ed34aa476e8970f68bbcbda893a4b9a585de79b1a29488175e3aede99e422637,143,275606,aceptada,0,15/06/2020,2020-06-15T15:38:52.631-04:00,1213,VN,0,,6623
62,e73c8c39d979e08a9ec86bbd5f814a7ce2d852bb96d8730d287369b3fbb5f1c4,144,495176,rechazada,-1,15/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
63,eb002e87cdbee4b1b78aca693e8a433a7ffbfe76da5059f405e16d438c4a2fc7,145,170263,aceptada,0,15/06/2020,2020-06-15T15:45:55.406-04:00,486637,VD,0,,1
64,e17960303b9d957154e9ff9289915aa50164cfd400ef73c81091c11e7b00fda8,146,366000,aceptada,0,22/06/2020,2020-06-22T13:03:11.373-04:00,1213,VN,0,,6623
65,e1519c1ac4188c9736acf7f8252e3c9b11055346e9c49a79c4f4a67fe78ed72e,147,232663,aceptada,0,22/06/2020,2020-06-22T13:06:53.631-04:00,1213,NC,4,58166,6623
66,edccf8b59efea94f192e73cf4284550e14230487c5911724b660a5b0d445cc6c,148,117085,rechazada,-1,22/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
67,e5a5e179c7256f436bba4f6ececbdde3ff883c94cac5612d3884157282c64251,149,89276,rechazada,-1,22/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
68,e0808a4b47a3d31a55cfd8dd25179ce4bed11a3366b4f7df7998c3149f37c4fb,150,100321,aceptada,0,22/06/2020,2020-06-22T13:12:51.282-04:00,456419,VD,0,,1
69,e1e26856a1083b6613d36ef9eb725e5144e7fc03b74c7f46f49a1e22dfc6699e,151,486654,rechazada,-1,22/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
70,e53bb03a284e58f44a34a0fec62b9be5b6c3dac18084013d9ddee9a623f0b0b1,152,246175,aceptada,0,23/06/2020,2020-06-23T13:10:48.372-04:00,744269,VD,0,,1234
71,NULL,153,232663,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
72,NULL,154,256571,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
73,NULL,155,256571,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
74,NULL,156,256571,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
75,NULL,157,160084,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
76,NULL,158,164704,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
77,NULL,159,164704,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
78,NULL,160,164704,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
79,NULL,161,164704,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
80,NULL,162,164704,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
81,NULL,163,164704,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
82,NULL,164,164704,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
83,NULL,165,164704,pendiente,NULL,23/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
84,NULL,166,208800,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
85,NULL,167,178500,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
86,NULL,168,158667,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
87,NULL,169,544213,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
88,NULL,170,148750,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
89,NULL,171,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
90,NULL,172,403490,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
91,NULL,173,403490,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
92,NULL,174,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
93,NULL,175,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
94,NULL,176,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
95,NULL,177,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
96,NULL,178,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
97,NULL,179,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
98,NULL,180,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
99,NULL,182,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
100,NULL,183,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
101,NULL,184,216937,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
102,NULL,185,158667,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
103,NULL,186,158667,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
104,NULL,187,170263,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
105,NULL,188,100321,rechazado,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
106,e4e68f0747f07571d4b8d0aa1b928755fe5b07c3962d641b0fff3d1fba3b54d5,189,100321,rechazado,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
107,ed5526dcb554094283ba38619971f213ad72c5cc6d114fd494a57eb20935a570,190,134562,rechazado,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
108,NULL,191,176972,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
109,NULL,193,294401,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
110,NULL,194,294401,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
111,NULL,195,294401,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
112,NULL,196,294401,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
113,NULL,197,112507,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
114,NULL,198,112507,pendiente,NULL,24/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
115,NULL,199,213763,pendiente,NULL,25/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
116,NULL,200,270241,pendiente,NULL,25/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
117,NULL,227,270241,pendiente,NULL,25/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
118,NULL,228,10,pendiente,NULL,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
119,NULL,229,10,pendiente,NULL,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
120,ed8395af7fbfc9038a2c031bae0ac2787246460eab5c8901388a0bc52f2ece14,230,10,aceptada,0,26/06/2020,2020-06-26T09:57:31.313-04:00,26261,VD,0,,4264
121,ec3f832d502dcc58492edcbb0007213826a236bd926235d30e0674831680b4a1,231,19,rechazada,-1,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
122,NULL,232,19,pendiente,NULL,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
123,e9fc9b39aa1c3766f9f656e5187550b9d6264365fb3ea7883b0cd2bb21f5d2c7,233,19,rechazada,-1,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
124,e51385afd6b60e6913c09370589f20e3ead3d468409d02040ceab173116051fb,234,19,rechazada,-1,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
125,ef1c0bfd755a513d28f7d6c4686704b5b88207c04d91d6a880363bc2b4ac106e,235,19,aceptada,0,26/06/2020,2020-06-26T10:29:56.077-04:00,448,VD,0,,4264
126,e4b5b7694553c5f20879896f0862dbcb7dc67f184d3952a9a7d2100722328b0f,236,10,aceptada,0,26/06/2020,2020-06-26T10:33:11.861-04:00,5306,VD,0,,4264
127,e19cdf9843007f85c72db7f49341460ea37543d29c0c0e458b45a9407b1d5c70,237,10,aceptada,0,26/06/2020,2020-06-26T10:37:32.978-04:00,9527,VD,0,,4264
128,e1fd7c36514435309273d135cf2c93e53dfb47239381a627da3db5cbeca1fb14,238,19,aceptada,0,26/06/2020,2020-06-26T10:41:41.066-04:00,4701,VD,0,,4264
129,NULL,239,19,pendiente,NULL,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
130,NULL,240,19,pendiente,NULL,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
131,NULL,241,19,pendiente,NULL,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
132,e6c6706e022bc29fa58c558b67ba591da46c51bd888e204ed214176522e20ff4,242,19,aceptada,0,26/06/2020,2020-06-26T17:22:58.470-04:00,122610,VD,0,,1
133,e5275df9052bcd87eb6aeee1cf0d6da7732877c4655aa96e8d4e43f254a4cddc,243,19,aceptada,0,26/06/2020,2020-06-26T15:50:52.195-04:00,2118,VD,0,,4264
134,e03b527c6c0d94837e5782bf39184cc43574e6892cf0b48ab763e2e505356a8c,244,19,aceptada,0,26/06/2020,2020-06-26T17:41:12.680-04:00,938457,VD,0,,1
135,e144fabf47159d5d5899f14e2dbef2c6794e5b986042c1f8a811cdf52c8f8e07,245,19,aceptada,0,26/06/2020,2020-06-26T17:48:43.102-04:00,9087,VD,0,,4264
136,e12d58275ecb97aa7d2d5f88bdb6e5cdffd2111df1960b39c246c40e9b64d081,246,88742,aceptada,0,26/06/2020,2020-06-26T16:07:47.606-04:00,119076,VD,0,,1
137,ecd0cc2900a49ab81df9437b0dc0c3de9941550c031f564dcdf79763fdf827e9,247,88742,aceptada,0,26/06/2020,2020-06-27T07:52:47.522-04:00,6666,VD,0,,4264
138,e3715027c7f52971bd9cb20520e6592a919c6a6e24ff71c303c056191cce6ac0,248,246687,aceptada,0,26/06/2020,2020-07-01T12:21:15.753-04:00,2904,VD,0,,4264
139,e8d2d8e17d3aa538561f4dae2640837bf5d8dd73eee81c684ce9568af19b95c6,249,246687,aceptada,0,26/06/2020,2020-06-26T16:31:58.275-04:00,173081,VD,0,,1
140,e6de83ac08d0be626aee8f54b3aa5ab4fb308a1d47efe03a54971a5edfd5cc0c,250,246687,aceptada,0,26/06/2020,2020-06-26T16:33:52.634-04:00,196535,VD,0,,1
141,ea82a6b97cb780428618ccff7a03e4dacb01ad93bcbfa264fc12b3fb17703e83,251,246687,rechazada,-2,26/06/2020,2020-06-26T16:35:05.275-04:00,635788,VD,0,,1
142,NULL,252,246687,pendiente,NULL,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
143,e647ce5e18595448670e8149b38b6fe9976feb9a0b01142bbad8c0723d49f0fc,253,338584,aceptada,0,26/06/2020,2020-06-26T16:58:27.312-04:00,307633,VD,0,,1
144,e7b24beb03bbd5585fb5ad18beaf593d4fad0d7f0950cfa7ffaede32e7acdf94,254,338584,aceptada,0,26/06/2020,2020-07-03T17:17:39.599-04:00,434399,VD,0,,1
145,ec57231f864042f2c0124fb47935e07c8f8084113eab8e95d1eddd27897eccda,255,338584,aceptada,0,26/06/2020,2020-07-03T17:21:45.309-04:00,868022,VD,0,,1
146,e1f83a592742dc85b375c47b3fb2494850aebc7292c7fb114435400b3f502330,256,338584,aceptada,0,26/06/2020,2020-07-03T17:38:55.379-04:00,456614,VD,0,,1
147,ee222aadc9580eb15faecb3b65b86fb275e9f47cd1f99043b747fe1187efbcc1,257,338584,aceptada,0,26/06/2020,2020-07-03T17:45:54.789-04:00,113334,VD,0,,1
148,e85ced3e673dab71bd4c1d9cc4c19b22c73dd97d74d22f64b8f0648513d8a059,258,104500,aceptada,0,26/06/2020,2020-07-03T17:50:38.863-04:00,162175,VD,0,,1
149,e6c6706e022bc29fa58c558b67ba591da46c51bd888e204ed214176522e20ff4,242,176972,aceptada,0,26/06/2020,2020-06-26T17:22:58.470-04:00,122610,VD,0,,1
150,NULL,243,176990,pendiente,NULL,26/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
151,e03b527c6c0d94837e5782bf39184cc43574e6892cf0b48ab763e2e505356a8c,244,160084,aceptada,0,26/06/2020,2020-06-26T17:41:12.680-04:00,938457,VD,0,,1
152,e144fabf47159d5d5899f14e2dbef2c6794e5b986042c1f8a811cdf52c8f8e07,245,19,aceptada,0,26/06/2020,2020-06-26T17:48:43.102-04:00,9087,VD,0,,4264
153,NULL,246,170263,pendiente,NULL,27/06/2020,NULL,NULL,NULL,NULL,NULL,NULL
154,ecd0cc2900a49ab81df9437b0dc0c3de9941550c031f564dcdf79763fdf827e9,247,10,aceptada,0,27/06/2020,2020-06-27T07:52:47.522-04:00,6666,VD,0,,4264
155,e3715027c7f52971bd9cb20520e6592a919c6a6e24ff71c303c056191cce6ac0,248,10,aceptada,0,1/7/2020,2020-07-01T12:21:15.753-04:00,2904,VD,0,,4264
156,NULL,249,176990,pendiente,NULL,3/7/2020,NULL,NULL,NULL,NULL,NULL,NULL
157,NULL,250,176990,pendiente,NULL,3/7/2020,NULL,NULL,NULL,NULL,NULL,NULL
158,ea82a6b97cb780428618ccff7a03e4dacb01ad93bcbfa264fc12b3fb17703e83,251,176990,rechazada,-2,3/7/2020,NULL,NULL,NULL,NULL,NULL,NULL
159,NULL,252,104500,pendiente,NULL,3/7/2020,NULL,NULL,NULL,NULL,NULL,NULL
160,NULL,253,104500,pendiente,NULL,3/7/2020,NULL,NULL,NULL,NULL,NULL,NULL
161,e7b24beb03bbd5585fb5ad18beaf593d4fad0d7f0950cfa7ffaede32e7acdf94,254,104500,aceptada,0,3/7/2020,2020-07-03T17:17:39.599-04:00,434399,VD,0,,1
162,ec57231f864042f2c0124fb47935e07c8f8084113eab8e95d1eddd27897eccda,255,104500,aceptada,0,3/7/2020,2020-07-03T17:21:45.309-04:00,868022,VD,0,,1
163,e1f83a592742dc85b375c47b3fb2494850aebc7292c7fb114435400b3f502330,256,104500,aceptada,0,3/7/2020,2020-07-03T17:38:55.379-04:00,456614,VD,0,,1
164,ee222aadc9580eb15faecb3b65b86fb275e9f47cd1f99043b747fe1187efbcc1,257,104500,aceptada,0,3/7/2020,2020-07-03T17:45:54.789-04:00,113334,VD,0,,1
165,e85ced3e673dab71bd4c1d9cc4c19b22c73dd97d74d22f64b8f0648513d8a059,258,104500,aceptada,0,3/7/2020,2020-07-03T17:50:38.863-04:00,162175,VD,0,,1
166,ece6734d48056ce681d8bbbeb4cabd4d846643312aa10a9b5d0afb1bbef5a98e,259,104500,aceptada,0,3/7/2020,2020-07-03T17:52:12.314-04:00,101644,VD,0,,1
167,e5b25a146128b1fb374096e47d3740fc0b650c2ef976c966a2362f7013ad1c45,260,350075,aceptada,0,3/7/2020,2020-07-03T17:57:58.753-04:00,207069,VD,0,,1
168,NULL,261,88723,pendiente,NULL,6/7/2020,NULL,NULL,NULL,NULL,NULL,NULL
169,NULL,262,88723,pendiente,NULL,6/7/2020,NULL,NULL,NULL,NULL,NULL,NULL
170,e3abc14005aa291c32e451f2a8b7d6771407cc8556b045bbbfa5a147fd5f5c81,263,88723,aceptada,0,6/7/2020,2020-07-06T08:56:03.864-04:00,119320,VD,0,,1
171,e6d95017fc46cbf30131718d491e150384237bdf9c1361c31543c9a0d42c4038,264,350075,aceptada,0,6/7/2020,2020-07-06T09:03:08.734-04:00,331358,VD,0,,1
172,NULL,265,10,pendiente,NULL,6/7/2020,NULL,NULL,NULL,NULL,NULL,NULL
173,e8e48f283d973ee85f3610643fde4ab72e092b874de1e0c9f54ef276a54786eb,266,10,aceptada,0,9/7/2020,2020-07-09T17:12:38.883-04:00,14309,VD,0,,4264
174,ef365e9c1e51778cbf334f1a1ad87d3508f2c69d0256a46ab88a0be2edeefba9,267,168998,aceptada,0,14/07/2020,2020-07-14T16:46:58.213-04:00,125615,VD,0,,1
175,ef0de4c4d9b39b396e60f120f4a5367ec1460136ba24bff01aeac8bc3cec3b0c,268,230394,aceptada,0,14/07/2020,2020-07-14T16:49:03.645-04:00,425570,VD,0,,1
176,e3e7b65ab35a7aa0af99051ec2a01eb5a8fd20316cb707da67a7c3e3462c5796,269,61525,aceptada,0,14/07/2020,2020-07-14T16:51:03.990-04:00,796841,VD,0,,1
177,ee051a56f3d76db264634406b16df48a2db510fda7338480cdbb228d8ba82cb6,270,131107,aceptada,0,14/07/2020,2020-07-14T17:02:38.732-04:00,643444,VD,0,,1
178,e81fde6bfb65c4ee9e7701ed7ba0d867b61602c5ff7a55ab115d4ee23f727edc,271,329040,aceptada,0,14/07/2020,2020-07-14T17:06:56.177-04:00,106873,VD,0,,1
179,NULL,272,160084,pendiente,NULL,17/07/2020,NULL,NULL,NULL,NULL,NULL,NULL
180,NULL,273,182547,pendiente,NULL,21/07/2020,NULL,NULL,NULL,NULL,NULL,NULL
181,NULL,274,141709,pendiente,NULL,25/07/2020,NULL,NULL,NULL,NULL,NULL,NULL
182,NULL,275,141709,pendiente,NULL,27/07/2020,NULL,NULL,NULL,NULL,NULL,NULL
183,NULL,276,658080,pendiente,NULL,27/07/2020,NULL,NULL,NULL,NULL,NULL,NULL
184,NULL,277,658080,pendiente,NULL,27/07/2020,NULL,NULL,NULL,NULL,NULL,NULL
185,NULL,278,248750,pendiente,NULL,28/07/2020,NULL,NULL,NULL,NULL,NULL,NULL
186,NULL,279,85192,pendiente,NULL,10/8/2020,NULL,NULL,NULL,NULL,NULL,NULL
187,NULL,280,85192,pendiente,NULL,10/8/2020,NULL,NULL,NULL,NULL,NULL,NULL
188,ed8c463b9e4cccd3eadd47bcbbfa35e4c45b555ce5e7f35e33595a9ab0ba6cdf,281,85192,aceptada,0,10/8/2020,2020-08-10T09:23:23.757-04:00,645241,VN,0,,3143
189,NULL,282,729227,pendiente,NULL,11/8/2020,NULL,NULL,NULL,NULL,NULL,NULL
190,NULL,283,1088426,pendiente,NULL,12/8/2020,NULL,NULL,NULL,NULL,NULL,NULL
191,NULL,284,58386,pendiente,NULL,17/08/2020,NULL,NULL,NULL,NULL,NULL,NULL
192,e8476c7db05ee16c5c8c22bae2ae5a64a36170df8642e7ae815b0cbe112fef64,285,58386,aceptada,0,17/08/2020,2020-08-17T10:31:07.562-04:00,227823,NC,12,4866,6630
193,NULL,286,560745,pendiente,NULL,17/08/2020,NULL,NULL,NULL,NULL,NULL,NULL
194,NULL,287,157200,pendiente,NULL,18/08/2020,NULL,NULL,NULL,NULL,NULL,NULL
195,NULL,288,239716,pendiente,NULL,18/08/2020,NULL,NULL,NULL,NULL,NULL,NULL
196,e37a6f35abed17baa009e8d7fe4627f457cd0704ad0f0ce9313ae85a6b99eb5d,289,1,aceptada,0,21/08/2020,2020-08-21T17:37:25.890-04:00,221,VD,0,,4264
197,ef4a719c5190b4149265ee50bae2eeb3f25c5adb26fcac17e1c91f8ac6534959,290,234989,aceptada,0,21/08/2020,2020-08-21T17:51:31.150-04:00,181357,VD,0,,1111
198,edd5a573bb259eb799a34c6c880aba2592027e14792df2d59ef4072b9313e441,291,99158,aceptada,0,21/08/2020,2020-08-21T17:58:15.079-04:00,373026,VD,0,,1111
199,e6798cf0555f2565a7aa41936f47b4a59c00863b0e099493a43c905bcc1ad56a,292,192547,aceptada,0,21/08/2020,2020-08-21T18:00:07.769-04:00,140086,VD,0,,1111
200,NULL,293,256350,pendiente,NULL,21/08/2020,NULL,NULL,NULL,NULL,NULL,NULL
201,eee0773cfffe80b9f662f05a1359a1c6bc6e63b4820077ce338ff09b7709dd38,294,203138,aceptada,0,21/08/2020,2020-08-21T18:07:18.435-04:00,748389,VD,0,,1111
202,e7f041e881e25e373b4495205660feca3f99bc066d2798fa49a80acee06d96d1,295,355686,aceptada,0,21/08/2020,2020-08-21T18:10:52.549-04:00,165240,VD,0,,1111
203,e1791f22a754cb51601c4fd0fbd76e86776c3aec7e71600ed16c63986faa84b6,296,616631,aceptada,0,21/08/2020,2020-08-21T18:15:17.127-04:00,152135,VD,0,,1111
204,ec546f9727018a0d7babddac8032b1721b704e6123cfb0eb930cc76a77ad8684,297,440069,aceptada,0,21/08/2020,2020-08-21T18:19:33.984-04:00,441967,VD,0,,1111
205,ec37c8b387ebcaef1a8032d3049755e75c11f437a761027e8bc7b4d529ecb655,298,388185,aceptada,0,21/08/2020,2020-08-21T18:23:23.320-04:00,343528,VD,0,,1111
206,ef0962c1ed537f8f556bf70a5a0614758a1bc058aa9a2511b6950b1f2a96d027,299,2686881,aceptada,0,21/08/2020,2020-08-21T18:26:07.195-04:00,160019,VD,0,,1111
207,NULL,300,463049,pendiente,NULL,22/08/2020,NULL,NULL,NULL,NULL,NULL,NULL
208,ee37de6a8b34c0b7a8f9dd8f145e5f3690b68a59214c2dcd694ca0f0b6b0d4a8,301,463049,aceptada,0,22/08/2020,2020-08-22T06:46:27.794-04:00,309323,VD,0,,1111
209,e385a02d1901c1bcbf7a8d38d4ae6f3c61876696dcbbb0626d4785e5ae7e2655,302,385094,aceptada,0,25/08/2020,2020-08-25T15:23:10.413-04:00,9500,VD,0,,5916
